cdr_id,date,time,a_party_number,a_party_imei,a_party_imsi,a_party_operator,b_party_number,b_party_imei,call_type,duration_sec,first_cell_id,last_cell_id,lac,cell_site_address,city,circle,roaming_flag,is_suspicious,scenario_tag
GJ-CDR-0000027,01-04-2026,04:31:14,6315918132,513320174932170,40580384559747,Reliance Jio,9846537902,597425766874130,SMS-MO,0,30483,30483,10030,GJ-SUR-AMROLI-02,Surat,Gujarat,N,N,
GJ-CDR-0000028,01-04-2026,04:35:18,7087621024,804616426077141,40599502848695,Vi (Vodafone Idea),9134587319,262117645456227,MTC,54,37801,37801,10616,GJ-SUR-CHORYASI-01,Surat,Gujarat,N,N,
GJ-CDR-0000029,01-04-2026,04:37:03,6366680466,838415450709533,40552050794021,Reliance Jio,6331812791,578660368846023,MTC,59,32282,32282,10089,GJ-SUR-GHODDODROAD-07,Surat,Gujarat,N,N,
GJ-CDR-0000030,01-04-2026,04:41:45,9059075711,559117788826541,40561166083279,Vi (Vodafone Idea),9974706649,301303816626313,MOC,24,30159,32797,10238,GJ-SUR-ANANDMAHALROAD-01,Surat,Gujarat,N,N,
GJ-CDR-0000031,01-04-2026,04:43:08,9839721639,898227342425961,40588720922134,Vi (Vodafone Idea),9114282841,775106633162843,MOC,263,30558,30558,10089,GJ-SUR-GHODDODROAD-03,Surat,Gujarat,N,N,
GJ-CDR-0000032,01-04-2026,04:43:41,9482211477,264038266203571,40552376013369,BSNL,6337131878,144624274538483,MOC,30,34639,34639,10759,GJ-SUR-VARACHHA-05,Surat,Gujarat,N,N,
GJ-CDR-0000033,01-04-2026,05:18:25,9478664331,780975086036749,40528869366784,BSNL,7078581874,041865342800122,MTC,36,31113,31113,10032,GJ-SUR-PALANPUR-05,Surat,Gujarat,N,N,
GJ-CDR-0000034,01-04-2026,05:28:56,6341934081,467947140449034,40540806593311,Vi (Vodafone Idea),9946748401,455630202047508,MTC,32,34639,34639,10759,GJ-SUR-VARACHHA-09,Surat,Gujarat,N,N,
GJ-CDR-0000035,01-04-2026,05:36:32,9196610922,698282150068798,40536693632742,Reliance Jio,9119330058,373753623817159,SMS-MT,0,31544,31544,10758,GJ-SUR-DUMAS-05,Surat,Gujarat,N,N,
GJ-CDR-0000036,01-04-2026,05:43:56,7078581874,041865342800122,40590072358343,Airtel,9086264112,845460112861894,MOC,18,39284,39284,10104,GJ-SUR-SACHINGIDC-06,Surat,Gujarat,N,N,
GJ-CDR-0000037,01-04-2026,05:54:02,6326903972,855827752995718,40526072310757,Reliance Jio,9088263207,356830825905374,SMS-MT,0,34487,34487,10558,GJ-SUR-NANPURA-03,Surat,Gujarat,N,N,
GJ-CDR-0000038,01-04-2026,06:05:36,9099928840,726638503213723,40591912085920,Airtel,9144864264,460826821031056,MTC,166,36454,36454,10250,GJ-SUR-PANDESARA-06,Surat,Gujarat,N,N,
GJ-CDR-0000039,01-04-2026,06:09:27,8276844588,096687398432518,40553870680914,BSNL,9958913776,236344741602881,MOC,42,34432,34432,10095,GJ-SUR-KAMREJ-12,Surat,Gujarat,N,N,
GJ-CDR-0000040,01-04-2026,07:11:52,6322627937,219300121570011,40543735108906,Reliance Jio,9813878822,178461989880739,MOC,53,37101,37101,10104,GJ-SUR-SACHINGIDC-10,Surat,Gujarat,N,N,
GJ-CDR-0000041,01-04-2026,07:24:23,9010733092,449614172697105,40542704600313,Vi (Vodafone Idea),9012497034,197298661203121,SMS-MO,0,37528,37528,10250,GJ-SUR-PANDESARA-06,Surat,Gujarat,N,N,
GJ-CDR-0000042,01-04-2026,07:26:58,8263491260,411479425932618,40574004612233,BSNL,9424558507,981484016781433,MOC,23,34490,34490,10228,GJ-SUR-ATHWA-09,Surat,Gujarat,N,N,
GJ-CDR-0000043,01-04-2026,07:30:45,9803671707,607796150138811,40516437461126,Airtel,9974706649,301303816626313,SMS-MT,0,30871,30871,10654,GJ-SUR-ADAJAN-03,Surat,Gujarat,N,N,
GJ-CDR-0000044,01-04-2026,07:50:23,9938397186,701202749903744,40528108115285,Vi (Vodafone Idea),9956173647,832611836580123,MTC,37,39508,39508,10025,GJ-SUR-KATARGAM-02,Surat,Gujarat,N,N,
GJ-CDR-0000045,01-04-2026,07:50:38,9128489060,087274536364891,40557912819872,Reliance Jio,8216318442,611372895012230,MOC,194,38001,38001,10654,GJ-SUR-ADAJAN-04,Surat,Gujarat,N,N,imei_baseline_normal
GJ-CDR-0000046,01-04-2026,08:11:02,9055146295,612850396201464,40598359641470,Vi (Vodafone Idea),9887442180,051605021955076,MOC,64,32423,32423,10692,GJ-SUR-ICHHAPORE-08,Surat,Gujarat,N,N,
GJ-CDR-0000047,01-04-2026,08:13:46,9015712479,521121052956184,40511544109484,Airtel,8188555192,595981740267113,MOC,87,35010,35010,10654,GJ-SUR-ADAJAN-11,Surat,Gujarat,N,N,
GJ-CDR-0000048,01-04-2026,08:18:15,9128489060,087274536364891,40557912819872,Reliance Jio,6360560127,606032868086239,MOC,34,38001,38001,10654,GJ-SUR-ADAJAN-05,Surat,Gujarat,N,N,imei_baseline_normal
GJ-CDR-0000049,01-04-2026,08:20:12,6337131878,144624274538483,40583942359881,Reliance Jio,9049231779,404519757188961,SMS-MO,0,35508,35508,10114,GJ-SUR-VESU-01,Surat,Gujarat,N,N,
GJ-CDR-0000050,01-04-2026,09:12:48,9015712479,521121052956184,40511544109484,Airtel,9061070590,506979434389896,MTC,52,39999,39999,10604,GJ-SUR-CITYLIGHT-04,Surat,Gujarat,N,N,
GJ-CDR-0000051,01-04-2026,09:41:47,7022594153,554316527077836,40593940558845,Vi (Vodafone Idea),9051214109,849989711948403,MOC,145,35863,35863,10032,GJ-SUR-PALANPUR-09,Surat,Gujarat,N,N,
GJ-CDR-0000052,01-04-2026,10:33:23,7078581874,041865342800122,40590072358343,Airtel,8940899489,452196190933276,MOC,19,34322,34322,10238,GJ-SUR-ANANDMAHALROAD-07,Surat,Gujarat,N,N,
GJ-CDR-0000053,01-04-2026,10:43:27,6384835410,656411654819398,40568181039304,Airtel,6322627937,219300121570011,MTC,106,37925,37925,10432,GJ-SUR-LIMBAYAT-07,Surat,Gujarat,N,N,
GJ-CDR-0000054,01-04-2026,11:19:58,6341934081,467947140449034,40540806593311,Vi (Vodafone Idea),8257848634,101837512445132,SMS-MO,0,30339,30339,10692,GJ-SUR-ICHHAPORE-08,Surat,Gujarat,N,N,
GJ-CDR-0000055,01-04-2026,11:37:43,9005113707,972671975249883,40521943007910,Airtel,6324178540,656616450322910,SMS-MO,0,34529,34529,10604,GJ-SUR-CITYLIGHT-04,Surat,Gujarat,N,N,
GJ-CDR-0000056,01-04-2026,11:40:03,8117958992,821835372411942,40585056154227,Airtel,6309331980,817276144836168,MOC,73,36722,36722,10692,GJ-SUR-ICHHAPORE-11,Surat,Gujarat,N,N,
GJ-CDR-0000057,01-04-2026,12:06:54,7002196472,126608456572035,40533609055953,Reliance Jio,8167685800,656746462948620,MTC,51,39495,39495,10604,GJ-SUR-CITYLIGHT-04,Surat,Gujarat,N,N,
GJ-CDR-0000058,01-04-2026,12:26:51,7014787853,361445971292909,40534736891737,Airtel,8137519919,935913877844498,SMS-MO,0,34764,34764,10517,GJ-SUR-DABHOLI-05,Surat,Gujarat,N,N,
GJ-CDR-0000059,01-04-2026,12:30:18,7034529645,081178617080039,40532985974347,Reliance Jio,7014787853,361445971292909,MTC,26,32085,32085,10025,GJ-SUR-KATARGAM-02,Surat,Gujarat,N,N,
GJ-CDR-0000060,01-04-2026,13:05:32,9878096869,672539381883939,40542397281438,Vi (Vodafone Idea),9837947389,070418881727470,MTC,43,36396,34118,10032,GJ-SUR-PALANPUR-07,Surat,Gujarat,N,N,
GJ-CDR-0000061,01-04-2026,13:07:12,9040069387,388416436606081,40590560799471,BSNL,9422982734,228711709242560,MTC,191,35093,35093,10281,GJ-SUR-UDHNA-08,Surat,Gujarat,N,N,
GJ-CDR-0000062,01-04-2026,13:20:42,9814884890,556505397018335,40531535877304,Airtel,9998096914,665101804539699,MTC,113,31538,31538,10142,GJ-SUR-RANDER-04,Surat,Gujarat,N,N,
GJ-CDR-0000063,01-04-2026,13:38:10,9803190111,129046944701088,40576643635684,Airtel,6243104294,759837664933165,MTC,52,39034,39034,10604,GJ-SUR-CITYLIGHT-06,Surat,Gujarat,N,N,
GJ-CDR-0000064,01-04-2026,14:10:17,8928840098,509395773012838,40552377607302,Reliance Jio,6294382969,417822261196667,MOC,342,30159,30159,10238,GJ-SUR-ANANDMAHALROAD-10,Surat,Gujarat,N,N,
GJ-CDR-0000065,01-04-2026,14:15:32,7007527791,036306127498958,40590682268513,Airtel,9842344046,319080078555313,MTC,13,38001,38001,10654,GJ-SUR-ADAJAN-09,Surat,Gujarat,N,N,
GJ-CDR-0000066,01-04-2026,14:48:20,7745066049,648775760086638,40586317604942,Vi (Vodafone Idea),7018886964,483240477295004,MTC,145,38001,38001,10654,GJ-SUR-ADAJAN-11,Surat,Gujarat,N,N,
GJ-CDR-0000067,01-04-2026,14:51:39,8262180750,868589574195912,40589038960646,BSNL,9874765279,294379559332808,SMS-MT,0,38046,38046,10913,GJ-SUR-BHATAR-11,Surat,Gujarat,N,N,
GJ-CDR-0000068,01-04-2026,15:10:37,9114282841,775106633162843,40545932551549,Reliance Jio,7033320419,026831067988348,SMS-MT,0,32121,32121,10095,GJ-SUR-KAMREJ-07,Surat,Gujarat,N,N,
GJ-CDR-0000069,01-04-2026,15:17:13,9022332759,890649669639935,40546057554263,Reliance Jio,9059075711,559117788826541,SMS-MT,0,36836,36836,18359,GJ-BHA-ANKLESHWARGIDC-02,Bharuch,Gujarat,Y,N,
GJ-CDR-0000070,01-04-2026,16:08:16,6333730261,571336869411790,40535010959527,Reliance Jio,9099928840,726638503213723,MOC,51,34639,34639,10759,GJ-SUR-VARACHHA-12,Surat,Gujarat,N,N,
GJ-CDR-0000071,01-04-2026,16:10:56,9061070590,506979434389896,40558698808489,BSNL,9814884890,556505397018335,MTC,56,33206,33206,10913,GJ-SUR-BHATAR-04,Surat,Gujarat,N,N,
GJ-CDR-0000072,01-04-2026,17:28:33,8940899489,452196190933276,40595115706897,Reliance Jio,9458277235,851509047054784,SMS-MO,0,38927,38927,10558,GJ-SUR-NANPURA-12,Surat,Gujarat,N,N,
GJ-CDR-0000073,01-04-2026,17:30:55,9424558507,981484016781433,40524545545102,BSNL,9099928840,726638503213723,SMS-MT,0,31322,31322,10517,GJ-SUR-DABHOLI-08,Surat,Gujarat,N,N,
GJ-CDR-0000074,01-04-2026,17:40:43,8245848409,759866171998149,40565281537805,BSNL,9891955628,979677931406106,SMS-MT,0,31704,31704,10095,GJ-SUR-KAMREJ-02,Surat,Gujarat,N,N,
GJ-CDR-0000075,01-04-2026,17:55:00,9837947389,070418881727470,40568706239917,Vi (Vodafone Idea),6315918132,513320174932170,SMS-MO,0,34963,34963,10250,GJ-SUR-PANDESARA-05,Surat,Gujarat,N,N,
GJ-CDR-0000076,01-04-2026,18:04:05,7039474201,463063934408962,40591112084428,Vi (Vodafone Idea),9051214109,849989711948403,SMS-MT,0,31638,31638,10142,GJ-SUR-RANDER-11,Surat,Gujarat,N,N,
GJ-CDR-0000077,01-04-2026,18:06:00,9877191506,476146801753931,40545626729088,Airtel,8200985574,103868908255333,MTC,29,36565,36565,17873,GJ-VAD-MANJALPUR-02,Vadodara,Gujarat,Y,N,
GJ-CDR-0000078,01-04-2026,18:18:28,9430971720,929715858035220,40516193379558,BSNL,6303741581,472848963951877,MOC,367,30050,30050,10758,GJ-SUR-DUMAS-04,Surat,Gujarat,N,N,
GJ-CDR-0000079,01-04-2026,18:20:21,9145590754,597961816638466,40541299414772,Reliance Jio,6235918990,428350253645471,MTC,15,33032,33032,10758,GJ-SUR-DUMAS-12,Surat,Gujarat,N,N,
GJ-CDR-0000080,01-04-2026,18:27:38,9012497034,197298661203121,40581769149510,Airtel,8244513045,185571588531929,SMS-MT,0,35010,35010,10654,GJ-SUR-ADAJAN-05,Surat,Gujarat,N,N,
GJ-CDR-0000081,01-04-2026,18:28:07,9891955628,979677931406106,40538400652920,Airtel,7010109826,646713440117948,MOC,231,30105,30105,10281,GJ-SUR-UDHNA-09,Surat,Gujarat,N,N,
GJ-CDR-0000082,01-04-2026,18:31:55,7745066049,648775760086638,40586317604942,Vi (Vodafone Idea),7099168467,220762780948908,MTC,15,39973,39973,10114,GJ-SUR-VESU-06,Surat,Gujarat,N,N,
GJ-CDR-0000083,01-04-2026,18:33:06,6294382969,417822261196667,40579983388521,Reliance Jio,9889475622,403641416035061,MOC,3,35499,35499,10142,GJ-SUR-RANDER-07,Surat,Gujarat,N,N,
GJ-CDR-0000084,01-04-2026,18:35:38,9088837573,406036753184874,40542619347714,Vi (Vodafone Idea),9153443420,420925502213536,MTC,64,34639,34639,10759,GJ-SUR-VARACHHA-10,Surat,Gujarat,N,N,
GJ-CDR-0000085,01-04-2026,18:39:02,9023998706,998272255483084,40599448018374,Reliance Jio,9096895369,735261831758874,MTC,36,34751,34751,10616,GJ-SUR-CHORYASI-11,Surat,Gujarat,N,N,
GJ-CDR-0000086,01-04-2026,18:40:28,7057412006,643310271644067,40566188101253,Reliance Jio,8137519919,935913877844498,MTC,108,35010,35010,10654,GJ-SUR-ADAJAN-01,Surat,Gujarat,N,N,
GJ-CDR-0000087,01-04-2026,18:46:11,6277076222,576211951552985,40531063414610,Reliance Jio,9803671707,607796150138811,MOC,39,38927,38927,10558,GJ-SUR-NANPURA-02,Surat,Gujarat,N,N,
GJ-CDR-0000088,01-04-2026,18:48:42,9887442180,051605021955076,40546926442415,Airtel,8241847827,424723801312434,SMS-MO,0,37801,37801,10616,GJ-SUR-CHORYASI-04,Surat,Gujarat,N,N,
GJ-CDR-0000089,01-04-2026,18:51:28,6367040106,848762654960149,40590834519968,Reliance Jio,9974706649,301303816626313,MTC,29,33285,33285,10754,GJ-SUR-PIPLOD-08,Surat,Gujarat,N,N,
GJ-CDR-0000090,01-04-2026,18:51:49,8263491260,411479425932618,40574004612233,BSNL,8257848634,101837512445132,MOC,59,37871,37871,10616,GJ-SUR-CHORYASI-07,Surat,Gujarat,N,N,
GJ-CDR-0000091,01-04-2026,18:55:58,9876217694,160624387079174,40524024547821,Airtel,7039001431,486628243297789,SMS-MO,0,37945,37945,10281,GJ-SUR-UDHNA-08,Surat,Gujarat,N,N,
GJ-CDR-0000092,01-04-2026,18:58:05,9134587319,262117645456227,40520553918925,Reliance Jio,6294123507,838827333356413,MTC,34,36396,36396,10032,GJ-SUR-PALANPUR-11,Surat,Gujarat,N,N,
GJ-CDR-0000093,01-04-2026,19:04:36,9042306924,075329566172463,40590031514356,Reliance Jio,7033320419,026831067988348,MTC,6,35811,35811,10089,GJ-SUR-GHODDODROAD-11,Surat,Gujarat,N,N,
GJ-CDR-0000094,01-04-2026,19:07:42,6362370884,095724861175745,40556295001674,Vi (Vodafone Idea),8264171749,560089674827053,SMS-MO,0,38001,38001,10654,GJ-SUR-ADAJAN-01,Surat,Gujarat,N,N,
GJ-CDR-0000095,01-04-2026,19:07:48,7726759620,832596267633408,40518909911572,Vi (Vodafone Idea),7011676174,774956686104320,MOC,18,37282,37282,10089,GJ-SUR-GHODDODROAD-04,Surat,Gujarat,N,N,
GJ-CDR-0000096,01-04-2026,19:10:41,8180473774,839820926403064,40561896469366,Airtel,9145590754,597961816638466,SMS-MT,0,30159,30159,10238,GJ-SUR-ANANDMAHALROAD-06,Surat,Gujarat,N,N,
GJ-CDR-0000097,01-04-2026,19:13:47,9008951756,663690236420795,40581939261952,BSNL,8241847827,424723801312434,MTC,16,30339,30339,10692,GJ-SUR-ICHHAPORE-02,Surat,Gujarat,N,N,
GJ-CDR-0000098,01-04-2026,19:14:46,6382691115,267262498042076,40543147519610,Reliance Jio,9094366878,053961801143407,MOC,134,39508,39508,10025,GJ-SUR-KATARGAM-11,Surat,Gujarat,N,N,
GJ-CDR-0000099,01-04-2026,19:18:05,7039001431,486628243297789,40593114798147,Vi (Vodafone Idea),7773452312,854104607514168,MOC,26,35359,35359,10759,GJ-SUR-VARACHHA-04,Surat,Gujarat,N,N,
GJ-CDR-0000100,01-04-2026,19:21:59,7071166329,471044106549030,40522792913089,Vi (Vodafone Idea),9420747934,911204753676146,MOC,26,31261,31261,10238,GJ-SUR-ANANDMAHALROAD-04,Surat,Gujarat,N,N,
GJ-CDR-0000101,01-04-2026,19:22:50,9831994271,751360825096606,40563412726041,Vi (Vodafone Idea),9837947389,070418881727470,MOC,18,32282,32282,10754,GJ-SUR-PIPLOD-03,Surat,Gujarat,N,N,
GJ-CDR-0000102,01-04-2026,19:22:51,9887442180,051605021955076,40546926442415,Airtel,7012277230,940759160932741,MTC,49,33796,33796,10030,GJ-SUR-AMROLI-02,Surat,Gujarat,N,N,
GJ-CDR-0000103,01-04-2026,19:26:17,9467323246,338487732308705,40584541338466,BSNL,9040069387,388416436606081,MOC,58,34118,34118,10032,GJ-SUR-PALANPUR-03,Surat,Gujarat,N,N,
GJ-CDR-0000104,01-04-2026,19:33:48,9010733092,449614172697105,40542704600313,Vi (Vodafone Idea),9814884890,556505397018335,SMS-MT,0,38046,38046,10913,GJ-SUR-BHATAR-06,Surat,Gujarat,N,N,
GJ-CDR-0000105,01-04-2026,19:40:35,9946748401,455630202047508,40570047796493,Vi (Vodafone Idea),9049966195,636516371548327,MOC,136,30583,30583,10095,GJ-SUR-KAMREJ-06,Surat,Gujarat,N,N,
GJ-CDR-0000106,01-04-2026,19:42:55,8271524097,098573900180549,40540289383429,BSNL,9825074553,619646025362524,SMS-MT,0,34422,34422,10692,GJ-SUR-ICHHAPORE-04,Surat,Gujarat,N,N,
GJ-CDR-0000107,01-04-2026,19:49:11,6394184840,683305887967512,40527243549180,Vi (Vodafone Idea),6226836644,199803083464604,MOC,53,32797,30159,10238,GJ-SUR-ANANDMAHALROAD-04,Surat,Gujarat,N,N,
GJ-CDR-0000108,01-04-2026,19:50:08,6202989885,695779445010696,40539843572237,Reliance Jio,9979370294,394660677017673,MTC,119,34487,34487,10558,GJ-SUR-NANPURA-08,Surat,Gujarat,N,N,
GJ-CDR-0000109,01-04-2026,19:56:36,9967124306,091011063465027,40511924808059,Airtel,7035830780,084435553244494,MTC,414,34950,34950,10228,GJ-SUR-ATHWA-11,Surat,Gujarat,N,N,
GJ-CDR-0000110,01-04-2026,20:03:07,9842344046,319080078555313,40595949023151,Airtel,9831994271,751360825096606,MOC,331,36722,36722,10692,GJ-SUR-ICHHAPORE-08,Surat,Gujarat,N,N,
GJ-CDR-0000111,01-04-2026,20:05:14,6271924032,913913047462630,40589937795206,Reliance Jio,6283822612,788035628562290,SMS-MO,0,34950,34950,10228,GJ-SUR-ATHWA-09,Surat,Gujarat,N,N,
GJ-CDR-0000112,01-04-2026,20:07:15,6324178540,656616450322910,40513931628781,Reliance Jio,7053112749,125875698778491,MTC,46,35010,30871,10654,GJ-SUR-ADAJAN-12,Surat,Gujarat,N,N,
GJ-CDR-0000113,01-04-2026,20:08:01,9846537902,597425766874130,40552378552533,Vi (Vodafone Idea),9814884890,556505397018335,MOC,65,38046,38046,10913,GJ-SUR-BHATAR-01,Surat,Gujarat,N,N,
GJ-CDR-0000114,01-04-2026,20:08:43,8978324481,943176921601841,40553221799552,Reliance Jio,9094366878,053961801143407,MOC,11,37945,37945,10281,GJ-SUR-UDHNA-06,Surat,Gujarat,N,N,
GJ-CDR-0000115,01-04-2026,20:09:37,9048594227,161764015451112,40511581177624,Airtel,9013165413,166695413403018,MOC,502,35685,35685,10104,GJ-SUR-SACHINGIDC-09,Surat,Gujarat,N,N,
GJ-CDR-0000116,01-04-2026,20:16:53,6214882590,379148721296946,40521717961441,Reliance Jio,6277447802,367159330963838,MOC,96,39973,39973,10114,GJ-SUR-VESU-01,Surat,Gujarat,N,N,
GJ-CDR-0000117,01-04-2026,20:17:00,8276844588,096687398432518,40553870680914,BSNL,8167685800,656746462948620,MTC,24,30105,30105,10281,GJ-SUR-UDHNA-11,Surat,Gujarat,N,N,
GJ-CDR-0000118,01-04-2026,20:19:05,9058190187,346088960115351,40597827699799,BSNL,9403467295,037473532050828,MTC,33,35132,35132,10223,GJ-SUR-MAGOB-11,Surat,Gujarat,N,N,
GJ-CDR-0000119,01-04-2026,20:21:11,8245848409,759866171998149,40565281537805,BSNL,9077377819,713060845042046,MTC,321,32294,32294,10250,GJ-SUR-PANDESARA-07,Surat,Gujarat,N,N,
GJ-CDR-0000120,01-04-2026,20:21:59,9944269837,025146303690260,40534710758863,Vi (Vodafone Idea),7053112749,125875698778491,MOC,118,34950,34950,10228,GJ-SUR-ATHWA-07,Surat,Gujarat,N,N,
GJ-CDR-0000121,01-04-2026,20:27:47,9052073455,223105030571154,40593559522465,Airtel,7711268747,532751020189276,MOC,334,35499,35499,10142,GJ-SUR-RANDER-05,Surat,Gujarat,N,N,
GJ-CDR-0000122,01-04-2026,20:28:02,8260513699,318332398074982,40564748513953,BSNL,7012277230,940759160932741,MOC,70,32586,32586,10032,GJ-SUR-PALANPUR-03,Surat,Gujarat,N,N,
GJ-CDR-0000123,01-04-2026,20:30:02,9422982734,228711709242560,40570136677720,BSNL,9938397186,701202749903744,MTC,13,32270,38627,10223,GJ-SUR-MAGOB-07,Surat,Gujarat,N,N,
GJ-CDR-0000124,01-04-2026,20:40:12,9813878822,178461989880739,40595882718828,Airtel,9437190873,443733908919179,MTC,7,31303,31303,10604,GJ-SUR-CITYLIGHT-03,Surat,Gujarat,N,N,
GJ-CDR-0000125,01-04-2026,20:45:03,9970434768,249488893066356,40525145199093,Vi (Vodafone Idea),8264171749,560089674827053,MTC,14,31113,31113,10032,GJ-SUR-PALANPUR-02,Surat,Gujarat,N,N,
